Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,2021-03-20 07:16:17,2021-03-20 07:16:17,Exchange to CHF,-800.00,0.00,EUR,COMPLETED,17.40
TRANSFER,Current,2021-04-15 12:54:12,2021-04-15 12:54:12,Transfer to Revolut user,-10.00,0.00,EUR,COMPLETED,7.40
EXCHANGE,Current,2021-05-06 14:32:38,2021-05-06 14:32:38,Exchange to EUR,45.63,0.00,EUR,COMPLETED,53.03
TRANSFER,Current,2021-05-06 14:34:31,2021-05-06 14:34:31,Transfer to Revolut user,-44.50,0.00,EUR,COMPLETED,8.53
TRANSFER,Current,2021-05-06 14:44:26,2021-05-06 14:44:26,Transfer from Revolut user,44.50,0.00,EUR,COMPLETED,53.03
EXCHANGE,Current,2021-07-25 12:16:53,2021-07-25 12:16:53,Exchange to EUR,100.47,0.00,EUR,COMPLETED,153.50
CARD_PAYMENT,Current,2021-07-25 12:18:35,2021-07-28 17:38:50,Minoan Lines,-140.00,0.00,EUR,COMPLETED,13.50
TRANSFER,Current,2021-08-03 19:09:24,2021-08-03 19:10:25,Transfer from Revolut user,22.00,0.00,EUR,COMPLETED,35.50
TRANSFER,Current,2021-08-03 19:10:36,2021-08-03 19:10:36,Transfer from Revolut user,6.00,0.00,EUR,COMPLETED,41.50
TRANSFER,Current,2021-08-06 22:18:36,2021-08-06 22:18:37,Transfer from Revolut user,50.00,0.00,EUR,COMPLETED,91.50
TRANSFER,Current,2021-08-08 21:18:46,2021-08-08 21:18:47,Transfer to Revolut user,-30.00,0.00,EUR,COMPLETED,61.50
TRANSFER,Current,2021-08-10 23:48:56,2021-08-10 23:48:56,Transfer from Revolut user,30.00,0.00,EUR,COMPLETED,91.50
TRANSFER,Current,2021-08-12 02:49:08,2021-08-12 02:49:08,Transfer from Revolut user,10.00,0.00,EUR,COMPLETED,101.50
CARD_PAYMENT,Current,2021-08-12 03:18:28,2021-08-13 16:48:59,Stamou Athanasia,-4.50,0.00,EUR,COMPLETED,97.00
TRANSFER,Current,2021-08-17 02:41:25,2021-08-17 02:41:25,Transfer from Revolut user,18.00,0.00,EUR,COMPLETED,115.00
TRANSFER,Current,2021-08-31 08:12:19,2021-08-31 08:12:19,Transfer from Revolut user,17.00,0.00,EUR,COMPLETED,132.00
TRANSFER,Current,2021-09-02 23:24:21,2021-09-02 23:24:21,Transfer from Revolut user,25.00,0.00,EUR,COMPLETED,157.00
TRANSFER,Current,2021-09-02 23:24:48,2021-09-02 23:24:48,Transfer to Revolut user,-25.00,0.00,EUR,COMPLETED,132.00
CARD_PAYMENT,Current,2021-09-03 17:18:38,2021-09-06 15:41:49,AB,-69.27,0.00,EUR,COMPLETED,62.73
CARD_PAYMENT,Current,2021-09-06 12:14:28,2021-09-08 14:08:47,MARKET IN,-6.09,0.00,EUR,COMPLETED,56.64
CARD_PAYMENT,Current,2021-09-07 18:17:50,2021-09-09 11:32:50,Tres Amici Ike,-17.80,0.00,EUR,COMPLETED,38.84
CARD_PAYMENT,Current,2021-09-08 00:23:16,2021-09-09 13:33:11,Stamou Athanasia,-9.00,0.00,EUR,COMPLETED,29.84
CARD_PAYMENT,Current,2021-09-08 00:29:02,2021-09-10 02:46:42,Vaikakis Georgiou Atha,-6.50,0.00,EUR,COMPLETED,23.34
CARD_PAYMENT,Current,2021-09-09 09:06:38,2021-09-13 14:02:25,Hellenic Duty Free Shops,-19.89,0.00,EUR,COMPLETED,3.45
EXCHANGE,Current,2021-09-19 15:11:28,2021-09-19 15:11:28,Exchange to EUR,91.46,0.91,EUR,COMPLETED,94.00
CARD_PAYMENT,Current,2021-11-13 02:54:15,2021-11-14 13:21:49,Alcotraz,-60.00,0.00,EUR,COMPLETED,34.00
CARD_PAYMENT,Current,2021-11-14 00:03:36,2021-11-15 06:16:36,P.ta Romana M3,-2.00,0.00,EUR,COMPLETED,32.00
CARD_PAYMENT,Current,2021-11-13 01:24:53,2021-11-15 16:05:40,Felix,-26.00,0.00,EUR,COMPLETED,6.00
EXCHANGE,Current,2021-11-23 00:16:18,2021-11-23 00:16:18,Exchange to EUR,33.36,0.00,EUR,COMPLETED,39.36
TRANSFER,Current,2021-11-23 00:17:43,2021-11-23 00:17:43,Transfer to Revolut user,-35.00,0.00,EUR,COMPLETED,4.36
TRANSFER,Current,2021-11-25 19:33:25,2021-11-25 19:33:26,Transfer from Revolut user,30.00,0.00,EUR,COMPLETED,34.36
CARD_PAYMENT,Current,2021-12-22 10:13:58,2021-12-24 03:45:43,Antheon Tyropita Santouits Kafe,-9.30,0.00,EUR,COMPLETED,25.06
TEMP_BLOCK,Current,2021-12-25 22:40:53,,Unknown Description,-10.00,0.00,EUR,REVERTED,
TRANSFER,Current,2021-12-25 22:41:49,2021-12-25 22:41:49,Transfer to Revolut user,-10.00,0.00,EUR,COMPLETED,15.06
TOPUP,Current,2022-01-04 23:05:01,2022-01-04 23:05:25,Top-Up by *0002,30.00,0.00,EUR,COMPLETED,45.06
TRANSFER,Current,2022-01-04 23:05:48,2022-01-04 23:05:48,Transfer to Revolut user,-20.00,0.00,EUR,COMPLETED,25.06
CARD_PAYMENT,Current,2022-01-03 15:20:59,2022-01-05 03:36:57,Antheon Tyropita Santouits Kafe,-7.20,0.00,EUR,COMPLETED,17.86
TRANSFER,Current,2022-01-05 22:15:17,2022-01-05 22:15:17,Transfer to Revolut user,-10.00,0.00,EUR,COMPLETED,7.86
TOPUP,Current,2022-02-04 22:40:57,2022-02-04 22:44:53,Top-Up by *0002,200.00,0.00,EUR,COMPLETED,207.86
TOPUP,Current,2022-02-05 17:41:51,2022-02-05 17:42:17,Top-Up by *0002,200.00,0.00,EUR,COMPLETED,407.86
CARD_PAYMENT,Current,2022-02-05 18:33:19,2022-02-07 06:11:36,La Trace,-9.99,0.00,EUR,COMPLETED,397.87
CARD_PAYMENT,Current,2022-02-05 15:56:58,2022-02-08 22:00:46,Restaurant La Cha,-2.40,0.00,EUR,COMPLETED,395.47
CARD_PAYMENT,Current,2022-02-05 17:06:14,2022-02-08 22:00:46,Le Spot,-13.00,0.00,EUR,COMPLETED,382.47
CARD_PAYMENT,Current,2022-02-05 15:16:40,2022-02-08 22:00:46,Restaurant La Cha,-18.00,0.00,EUR,COMPLETED,364.47
CARD_PAYMENT,Current,2022-02-06 16:50:58,2022-02-08 22:00:46,Compagnie du Mont-Blanc,-8.00,0.00,EUR,COMPLETED,356.47
CARD_PAYMENT,Current,2022-02-05 19:00:48,2022-02-08 22:00:47,Super Marche Payot Pertin,-6.36,0.00,EUR,COMPLETED,350.11
CARD_PAYMENT,Current,2022-02-06 15:24:25,2022-02-08 23:27:06,Elevation 1904,-212.40,0.00,EUR,COMPLETED,137.71
EXCHANGE,Current,2022-03-01 20:46:29,2022-03-01 20:46:29,Exchange to CHF,-50.00,0.00,EUR,COMPLETED,87.71
CARD_PAYMENT,Current,2022-03-01 20:45:40,2022-03-02 11:40:22,Uber,-15.55,0.00,EUR,COMPLETED,72.16
TRANSFER,Current,2022-03-04 23:26:43,2022-03-04 23:26:43,Transfer from Revolut user,45.00,0.00,EUR,COMPLETED,117.16
TRANSFER,Current,2022-03-06 14:51:40,2022-03-06 14:51:40,Transfer from Revolut user,50.00,0.00,EUR,COMPLETED,167.16
CARD_PAYMENT,Current,2022-03-15 08:03:58,2022-03-16 11:18:22,Uber,-33.40,0.00,EUR,COMPLETED,133.76
CARD_PAYMENT,Current,2022-03-19 00:39:39,2022-03-20 01:48:11,Miss Miu,-36.95,0.37,EUR,COMPLETED,96.44
TRANSFER,Current,2022-03-23 22:06:00,2022-03-23 22:06:00,Transfer to Revolut user,-96.00,0.00,EUR,COMPLETED,0.44
TRANSFER,Current,2022-03-23 22:18:35,2022-03-23 22:18:35,Transfer from Revolut user,90.00,0.00,EUR,COMPLETED,90.44
FEE,Current,2022-03-26 00:24:16,2022-03-26 00:24:16,Premium plan fee,-8.81,0.00,EUR,COMPLETED,81.63
TRANSFER,Current,2022-03-29 13:32:26,2022-03-29 13:32:26,Transfer to Revolut user,-60.00,0.00,EUR,COMPLETED,21.63
TRANSFER,Current,2022-04-10 17:47:44,2022-04-10 17:47:44,Transfer from Revolut user,45.00,0.00,EUR,COMPLETED,66.63
CARD_PAYMENT,Current,2022-04-14 08:31:21,2022-04-15 15:19:41,efood,-5.30,0.00,EUR,COMPLETED,61.33
CARD_PAYMENT,Current,2022-04-18 10:18:04,2022-04-19 16:40:23,efood,-8.35,0.00,EUR,COMPLETED,52.98
TRANSFER,Current,2022-04-19 19:35:31,2022-04-22 21:11:36,Transfer to Revolut user,-20.00,0.00,EUR,COMPLETED,32.98
TRANSFER,Current,2022-05-03 19:53:16,2022-05-03 19:53:16,Transfer from Revolut user,80.00,0.00,EUR,COMPLETED,112.98
TRANSFER,Current,2022-05-04 09:02:52,2022-05-04 09:02:53,Transfer from Revolut user,40.00,0.00,EUR,COMPLETED,152.98
ATM,Current,2022-05-04 09:20:29,2022-05-05 06:24:29,"Cash at Pc Marques De Pombal,",-100.00,0.00,EUR,COMPLETED,52.98
CARD_PAYMENT,Current,2022-05-04 21:29:58,2022-05-06 18:17:50,Monte Mar Lisboa,-39.60,0.00,EUR,COMPLETED,13.38
CARD_PAYMENT,Current,2022-05-05 10:59:05,2022-05-06 18:17:56,Quiosque das Portas do Sol,-10.40,0.00,EUR,COMPLETED,2.98
TOPUP,Current,2022-05-19 15:19:41,2022-05-19 15:20:16,Card Top-Up,200.00,0.00,EUR,COMPLETED,202.98
CARD_PAYMENT,Current,2022-05-19 15:23:54,2022-05-20 21:47:28,Hudson News,-4.00,0.00,EUR,COMPLETED,198.98
TOPUP,Current,2022-05-21 10:19:22,2022-05-21 10:19:47,Card Top-Up,600.00,0.00,EUR,COMPLETED,798.98
CARD_PAYMENT,Current,2022-05-21 10:24:25,2022-05-23 07:18:28,East Boats Ibiza,-435.60,0.00,EUR,COMPLETED,363.38
ATM,Current,2022-05-21 10:32:30,2022-05-23 09:07:03,Cash at Pto.deportivo S.eulali,-153.95,0.00,EUR,COMPLETED,209.43
CARD_PAYMENT,Current,2022-05-21 19:57:23,2022-05-23 10:20:02,Mini Mercado El Mirador,-69.00,0.00,EUR,COMPLETED,140.43
CARD_PAYMENT,Current,2022-05-21 19:58:02,2022-05-23 10:20:02,Mini Mercado El Mirador,-9.00,0.00,EUR,COMPLETED,131.43
FEE,Current,2022-05-26 01:18:23,2022-05-26 01:18:23,Premium plan fee,-8.75,0.00,EUR,COMPLETED,122.68
CARD_PAYMENT,Current,2022-06-10 21:50:28,2022-06-12 08:38:00,Domestika,-88.43,0.00,EUR,COMPLETED,34.25
TRANSFER,Current,2022-06-25 18:33:58,2022-06-25 18:33:58,Transfer to Revolut user,-30.00,0.00,EUR,COMPLETED,4.25
TRANSFER,Current,2022-07-03 13:57:55,2022-07-03 13:57:55,Transfer from Revolut user,22.00,0.00,EUR,COMPLETED,26.25
EXCHANGE,Current,2022-07-03 13:57:55,2022-07-03 13:57:55,Exchange to CHF,-1.85,0.00,EUR,COMPLETED,24.40
EXCHANGE,Current,2022-07-06 09:51:44,2022-07-06 09:51:44,Exchange to CHF,-11.00,0.00,EUR,COMPLETED,13.40
TRANSFER,Current,2022-07-06 19:34:18,2022-07-06 19:34:18,Transfer to Revolut user,-7.00,0.00,EUR,COMPLETED,6.40
CARD_PAYMENT,Current,2022-07-07 19:11:04,2022-07-08 02:33:49,TechCrunch,-5.00,0.00,EUR,COMPLETED,1.40
TRANSFER,Current,2022-07-11 14:19:02,2022-07-11 14:19:02,Transfer from Revolut user,40.00,0.00,EUR,COMPLETED,41.40
TRANSFER,Current,2022-07-18 22:00:16,2022-07-18 22:00:29,Transfer to Revolut user,-15.00,0.00,EUR,COMPLETED,26.40
FEE,Current,2022-07-26 01:03:59,2022-07-26 01:03:59,Premium plan fee,-9.14,0.00,EUR,COMPLETED,17.26
TRANSFER,Current,2022-07-26 23:13:38,2022-07-26 23:13:38,Transfer from Revolut user,5.00,0.00,EUR,COMPLETED,22.26
TRANSFER,Current,2022-07-29 00:18:55,2022-07-29 00:18:55,Transfer from Revolut user,5.00,0.00,EUR,COMPLETED,27.26
TEMP_BLOCK,Current,2022-08-03 22:35:19,,To Alexis Dickhead,-20.00,0.00,EUR,REVERTED,
TRANSFER,Current,2022-08-04 11:14:10,2022-08-04 11:14:10,Transfer to Revolut user,-20.00,0.00,EUR,COMPLETED,7.26
TOPUP,Current,2022-08-06 00:04:59,2022-08-06 00:05:21,Top-Up by *0002,50.00,0.00,EUR,COMPLETED,57.26
TEMP_BLOCK,Current,2022-08-06 00:06:15,,To Alexis Dickhead,-35.00,0.00,EUR,REVERTED,
TRANSFER,Current,2022-08-06 00:08:01,2022-08-06 00:08:01,Transfer to Revolut user,-35.00,0.00,EUR,COMPLETED,22.26
CARD_PAYMENT,Current,2022-08-06 10:26:00,2022-08-07 01:01:05,TechCrunch,-10.00,0.00,EUR,COMPLETED,12.26
TOPUP,Current,2022-08-07 23:00:33,2022-08-07 23:00:54,Top-Up by *0002,100.00,0.00,EUR,COMPLETED,112.26
TRANSFER,Current,2022-08-07 23:01:22,2022-08-07 23:01:22,Transfer from Revolut user,75.00,0.00,EUR,COMPLETED,187.26
TRANSFER,Current,2022-08-07 23:01:47,2022-08-07 23:01:47,Transfer from Revolut user,170.00,0.00,EUR,COMPLETED,357.26
TRANSFER,Current,2022-08-07 23:03:13,2022-08-07 23:06:43,Transfer from Revolut user,170.00,0.00,EUR,COMPLETED,527.26
TRANSFER,Current,2022-08-08 17:47:35,2022-08-08 17:47:36,Transfer from Revolut user,25.00,0.00,EUR,COMPLETED,552.26
TRANSFER,Current,2022-08-08 18:06:50,2022-08-08 18:08:03,Transfer from Revolut user,80.00,0.00,EUR,COMPLETED,632.26
TRANSFER,Current,2022-08-08 18:19:32,2022-08-08 18:19:32,Transfer from Revolut user,40.00,0.00,EUR,COMPLETED,672.26
TRANSFER,Current,2022-08-08 18:43:35,2022-08-08 18:43:35,Transfer from Revolut user,40.00,0.00,EUR,COMPLETED,712.26
TRANSFER,Current,2022-08-08 20:58:42,2022-08-08 20:58:43,Transfer from Revolut user,10.00,0.00,EUR,COMPLETED,722.26
TRANSFER,Current,2022-08-08 20:59:02,2022-08-08 20:59:02,Transfer from Revolut user,5.00,0.00,EUR,COMPLETED,727.26
TRANSFER,Current,2022-08-09 14:07:05,2022-08-09 14:07:09,Transfer to Revolut user,-30.00,0.00,EUR,COMPLETED,697.26
CARD_PAYMENT,Current,2022-08-07 23:07:09,2022-08-09 19:59:32,Ffb,-510.00,0.00,EUR,COMPLETED,187.26
TRANSFER,Current,2022-08-08 21:00:36,2022-08-10 21:26:56,Transfer to Revolut user,-60.00,0.00,EUR,COMPLETED,127.26
TRANSFER,Current,2022-08-16 20:59:05,2022-08-16 20:59:05,Transfer to Revolut user,-30.00,0.00,EUR,COMPLETED,97.26
TOPUP,Current,2022-08-21 15:48:30,2022-08-21 15:48:36,Top-Up by *0002,20.00,0.00,EUR,COMPLETED,117.26
TRANSFER,Current,2022-08-21 15:49:05,2022-08-21 15:49:18,Transfer to Revolut user,-100.00,0.00,EUR,COMPLETED,17.26
TOPUP,Current,2022-08-24 19:01:14,2022-08-24 19:01:23,Top-Up by *0002,20.00,0.00,EUR,COMPLETED,37.26
TRANSFER,Current,2022-08-24 19:02:02,2022-08-24 19:02:02,Transfer to Revolut user,-15.00,0.00,EUR,COMPLETED,22.26
FEE,Current,2022-08-26 01:32:51,2022-08-26 01:32:51,Premium plan fee,-9.37,0.00,EUR,COMPLETED,12.89
CARD_PAYMENT,Current,2022-09-06 11:04:29,2022-09-06 22:27:59,TechCrunch,-10.00,0.00,EUR,COMPLETED,2.89
TOPUP,Current,2022-10-03 00:04:08,2022-10-03 00:04:30,Top-Up by *0002,50.00,0.00,EUR,COMPLETED,52.89
EXCHANGE,Current,2022-10-03 00:04:42,2022-10-03 00:04:42,Exchange to CHF,-5.29,0.00,EUR,COMPLETED,47.60
CARD_PAYMENT,Current,2022-10-06 11:06:01,2022-10-07 01:00:20,TechCrunch,-10.00,0.00,EUR,COMPLETED,37.60
TRANSFER,Current,2022-10-10 19:36:44,2022-10-10 19:36:44,Transfer from Revolut user,50.00,0.00,EUR,COMPLETED,87.60
FEE,Current,2022-10-26 01:39:09,2022-10-26 01:39:09,Premium plan fee,-9.09,0.00,EUR,COMPLETED,78.51
CARD_PAYMENT,Current,2022-11-06 10:26:47,2022-11-06 23:17:42,TechCrunch,-10.00,0.00,EUR,COMPLETED,68.51
CARD_PAYMENT,Current,2022-11-28 22:51:06,2022-11-30 03:48:07,Skroutz,-24.50,0.00,EUR,COMPLETED,44.01
CARD_PAYMENT,Current,2022-12-06 10:35:07,2022-12-06 16:23:08,TechCrunch,-10.00,0.00,EUR,COMPLETED,34.01
CARD_PAYMENT,Current,2022-12-23 01:05:35,2022-12-23 05:38:08,Uber,-2.00,0.00,EUR,COMPLETED,32.01
CARD_PAYMENT,Current,2022-12-23 01:05:32,2022-12-23 05:38:08,Uber,-7.00,0.00,EUR,COMPLETED,25.01
TRANSFER,Current,2022-12-23 16:15:39,2022-12-23 16:15:40,Transfer to Revolut user,-20.00,0.00,EUR,COMPLETED,5.01
CARD_PAYMENT,Current,2022-12-26 02:46:42,2022-12-26 11:44:59,Uber,-2.00,0.00,EUR,COMPLETED,3.01
CARD_PAYMENT,Current,2022-12-25 11:42:55,2022-12-28 13:24:08,Pappas Dimosthenis,-2.00,0.00,EUR,COMPLETED,1.01
CARD_PAYMENT,Current,2023-04-03 08:51:49,,Google,-1.00,0.00,EUR,REVERTED,
EXCHANGE,Current,2023-04-10 10:03:10,2023-04-10 10:03:10,Exchange to EUR,30.32,0.00,EUR,COMPLETED,31.33
EXCHANGE,Current,2023-04-10 12:42:47,2023-04-10 12:42:47,Exchange to EUR,15.16,0.00,EUR,COMPLETED,46.49
EXCHANGE,Current,2023-04-11 08:06:21,2023-04-11 08:06:21,Exchange to EUR,50.52,0.00,EUR,COMPLETED,97.01
TRANSFER,Current,2023-04-11 10:08:05,2023-04-11 12:58:19,To Nikolaos Kaliorakis,-30.00,0.00,EUR,COMPLETED,67.01
CARD_PAYMENT,Current,2023-04-10 12:45:58,2023-04-11 16:28:25,O'Padcha,-31.00,0.00,EUR,COMPLETED,36.01
EXCHANGE,Current,2023-04-13 21:46:12,2023-04-13 21:46:12,Exchange to EUR,203.48,0.00,EUR,COMPLETED,239.49
TRANSFER,Current,2023-04-13 22:35:46,,Transfer to Revolut user,-40.00,0.00,EUR,REVERTED,
CARD_PAYMENT,Current,2023-04-13 16:57:56,2023-04-14 13:34:21,Valbrembo Servizi Bes,-2.80,0.00,EUR,COMPLETED,236.69
CARD_PAYMENT,Current,2023-04-13 11:08:31,2023-04-14 13:59:21,Autostrade per l'Italia,-3.80,0.00,EUR,COMPLETED,232.89
CARD_PAYMENT,Current,2023-04-14 16:29:34,2023-04-15 16:00:41,Tamoil,-15.01,0.00,EUR,COMPLETED,217.88
CARD_PAYMENT,Current,2023-04-14 16:08:37,2023-04-15 16:06:50,Milano Serravalle,-3.80,0.00,EUR,COMPLETED,214.08
TRANSFER,Current,2023-04-28 06:46:14,2023-04-28 06:46:14,Transfer to Revolut user,-20.00,0.00,EUR,COMPLETED,194.08
EXCHANGE,Current,2023-04-28 22:25:35,2023-04-28 22:25:35,Exchange to EUR,303.80,0.00,EUR,COMPLETED,497.88
TRANSFER,Current,2023-04-28 22:26:12,2023-04-28 22:26:14,To Nikolaos Kaliorakis,-300.00,0.00,EUR,COMPLETED,197.88
CARD_PAYMENT,Current,2023-04-27 10:32:13,2023-04-29 04:00:31,Antheon Tyropita Santouits Kafe,-4.60,0.00,EUR,COMPLETED,193.28
CARD_PAYMENT,Current,2023-04-28 11:00:28,2023-04-30 03:54:39,Liaskas Nikolaos,-50.00,0.00,EUR,COMPLETED,143.28
CARD_PAYMENT,Current,2023-04-29 12:51:16,2023-04-30 13:27:22,Artopolis Varkiza,-39.00,0.00,EUR,COMPLETED,104.28
EXCHANGE,Current,2023-05-01 19:37:37,2023-05-01 19:37:37,Exchange to EUR,101.65,0.00,EUR,COMPLETED,205.93
CARD_PAYMENT,Current,2023-05-01 20:57:01,2023-05-03 04:14:24,Koukounari,-8.00,0.00,EUR,COMPLETED,197.93
CARD_PAYMENT,Current,2023-05-01 20:55:34,2023-05-03 04:14:24,Koukounari,-10.80,0.00,EUR,COMPLETED,187.13
CARD_PAYMENT,Current,2023-04-30 22:20:16,2023-05-03 14:52:55,Public,-27.99,0.00,EUR,COMPLETED,159.14
CARD_PAYMENT,Current,2023-04-28 15:34:43,2023-05-03 14:53:55,Rumors,-27.00,0.00,EUR,COMPLETED,132.14
CARD_PAYMENT,Current,2023-05-01 19:45:54,2023-05-03 14:54:21,Mikro Papigo 1700 Hote,-82.00,0.00,EUR,COMPLETED,50.14
CARD_PAYMENT,Current,2023-05-03 13:59:48,2023-05-04 13:43:31,Xaskhs Avin,-50.00,0.00,EUR,COMPLETED,0.14
EXCHANGE,Current,2023-05-27 11:42:26,2023-05-27 11:42:26,Exchange to EUR,51.40,0.51,EUR,COMPLETED,51.03
CARD_PAYMENT,Current,2023-05-27 11:42:40,2023-05-28 18:01:59,efood,-9.30,0.00,EUR,COMPLETED,41.73
CARD_PAYMENT,Current,2023-06-05 07:37:53,2023-06-06 18:59:09,efood,-9.30,0.00,EUR,COMPLETED,32.43
EXCHANGE,Current,2023-06-07 16:51:16,2023-06-07 16:51:16,Exchange to EUR,171.67,0.00,EUR,COMPLETED,204.10
CARD_PAYMENT,Current,2023-06-07 16:54:19,2023-06-08 03:54:57,Sp Oxa Nanoleq,-174.50,0.00,EUR,COMPLETED,29.60
CARD_PAYMENT,Current,2023-06-20 08:37:37,2023-06-21 18:48:48,efood,-9.30,0.00,EUR,COMPLETED,20.30
CARD_PAYMENT,Current,2023-07-27 08:51:47,2023-07-29 04:18:05,Antheon Tyropita Santouits Kafe,-13.10,0.00,EUR,COMPLETED,7.20
CARD_PAYMENT,Current,2023-07-27 21:40:43,2023-07-30 04:08:45,Souper Market Bofiliou Aristea Kai Sia,-2.20,0.00,EUR,COMPLETED,5.00
TRANSFER,Current,2023-07-30 20:24:39,2023-07-30 20:24:39,Transfer from Revolut user,640.00,0.00,EUR,COMPLETED,645.00
TRANSFER,Current,2023-07-31 23:32:43,2023-07-31 23:32:43,Transfer from Revolut user,1.00,0.00,EUR,COMPLETED,646.00
TRANSFER,Current,2023-07-31 23:32:55,2023-07-31 23:32:55,Transfer from Revolut user,54.00,0.00,EUR,COMPLETED,700.00
CARD_PAYMENT,Current,2023-07-30 20:35:48,2023-08-01 04:13:42,Cantina,-128.00,0.00,EUR,COMPLETED,572.00
CARD_PAYMENT,Current,2023-07-31 23:28:13,2023-08-01 14:53:36,Tou Apostoli To Koutouki,-125.00,0.00,EUR,COMPLETED,447.00
CARD_PAYMENT,Current,2023-08-01 03:03:16,2023-08-02 04:04:50,Tratamento,-6.50,0.00,EUR,COMPLETED,440.50
CARD_PAYMENT,Current,2023-08-01 00:46:00,2023-08-02 04:05:00,Botzi,-29.00,0.00,EUR,COMPLETED,411.50
CARD_PAYMENT,Current,2023-08-01 01:58:36,2023-08-02 04:05:00,Botzi,-14.00,0.00,EUR,COMPLETED,397.50
CARD_PAYMENT,Current,2023-08-01 23:13:25,2023-08-02 14:19:36,Omega3,-152.00,0.00,EUR,COMPLETED,245.50
CARD_PAYMENT,Current,2023-08-02 22:49:49,2023-08-04 04:09:19,Manolis,-90.00,0.00,EUR,COMPLETED,155.50
CARD_PAYMENT,Current,2023-08-03 16:50:29,2023-08-04 04:09:28,Yalos Seaside Obsession,-25.00,0.00,EUR,COMPLETED,130.50
CARD_PAYMENT,Current,2023-08-03 22:53:36,2023-08-05 04:25:05,Okialos,-100.50,0.00,EUR,COMPLETED,30.00
CARD_PAYMENT,Current,2023-08-04 10:05:27,2023-08-05 04:25:09,Skaltsas K Chaitid,-6.00,0.00,EUR,COMPLETED,24.00
CARD_PAYMENT,Current,2023-08-06 12:55:40,2023-08-08 04:16:39,Attiki Odos,-2.80,0.00,EUR,COMPLETED,21.20
CARD_PAYMENT,Current,2023-08-04 19:53:42,2023-08-08 04:17:47,EKO,-20.00,0.00,EUR,COMPLETED,1.20
CARD_PAYMENT,Current,2023-08-28 18:31:44,,Skroutz,-0.01,0.00,EUR,REVERTED,
